Sales Person,Country,Product,Date,Amount,Boxes Shipped,Discount,Priority for shipping,,Unique Name ,Total sales Per name ,Unique Product,,Average per Product
Van Tuxwell,USA,After Nines,26-Jul-22,$630 ,264,50.4,needs Shipping,,,,,,
Wilone O'Kielt,Australia,Organic Choco Syrup,7-Jul-22,"$1,743 ",111,87.15,needs Shipping,,,,,,
Karlen McCaffrey,Canada,50% Dark Bites,15-Jul-22,"$2,919 ",65,145.95,needs Shipping,,,,,,
Roddy Speechley,New Zealand,Orange Choco,1-Apr-22,$49 ,97,2.45,needs Shipping,,,,,,
Beverie Moffet,Australia,Eclairs,20-Jun-22,"$1,827 ",6,91.35,Delay Shipping,,,,,,
Kelci Walkden,UK,Fruit & Nut Bars,29-Jun-22,"$13,006 ",482,650.3,needs Shipping,,,,,,
Marney O'Breen,USA,50% Dark Bites,15-Jun-22,"$1,064 ",106,85.12,needs Shipping,,,,,,
Husein Augar,USA,After Nines,8-Apr-22,"$11,571 ",180,925.68,needs Shipping,,,,,,
Dennison Crosswaite,Australia,Raspberry Choco,14-Mar-22,"$5,740 ",31,287,Delay Shipping,,,,,,
Andria Kimpton,USA,Fruit & Nut Bars,15-Jul-22,"$1,456 ",359,116.48,needs Shipping,,,,,,
Kelci Walkden,India,Eclairs,19-Apr-22,"$5,334 ",80,266.7,needs Shipping,,,,,,
Marney O'Breen,USA,99% Dark & Pure,28-Mar-22,"$4,151 ",296,332.08,needs Shipping,,,,,,
Brien Boise,Canada,Spicy Special Slims,4-Mar-22,"$8,106 ",101,405.3,needs Shipping,,,,,,
Karlen McCaffrey,New Zealand,70% Dark Bites,2-Aug-22,$126 ,40,6.3,Delay Shipping,,,,,,
Husein Augar,UK,Spicy Special Slims,25-Aug-22,"$4,697 ",42,234.85,Delay Shipping,,,,,,
Marney O'Breen,USA,Almond Choco,25-Feb-22,"$7,798 ",167,623.84,needs Shipping,,,,,,
Kelci Walkden,India,Orange Choco,7-Jun-22,"$9,408 ",138,470.4,needs Shipping,,,,,,
Jan Morforth,India,Spicy Special Slims,12-Apr-22,"$1,939 ",520,96.95,needs Shipping,,,,,,
Ches Bonnell,India,Spicy Special Slims,6-Jul-22,"$10,906 ",94,545.3,needs Shipping,,,,,,
Kelci Walkden,UK,Smooth Sliky Salty,19-Jan-22,"$5,929 ",175,296.45,needs Shipping,,,,,,
Madelene Upcott,Australia,Fruit & Nut Bars,5-Jan-22,"$5,579 ",92,278.95,needs Shipping,,,,,,
Madelene Upcott,Canada,70% Dark Bites,24-Jan-22,"$10,927 ",141,546.35,needs Shipping,,,,,,
Wilone O'Kielt,Australia,Drinking Coco,6-Apr-22,$623 ,283,31.15,needs Shipping,,,,,,
Gunar Cockshoot,Australia,Fruit & Nut Bars,15-Jun-22,"$6,013 ",21,300.65,Delay Shipping,,,,,,
Gigi Bohling,Canada,Baker's Choco Chips,28-Jan-22,"$1,505 ",47,75.25,Delay Shipping,,,,,,
Kelci Walkden,India,Caramel Stuffed Bars,16-Mar-22,$476 ,125,23.8,needs Shipping,,,,,,
Rafaelita Blaksland,Australia,Drinking Coco,21-Feb-22,"$11,550 ",396,577.5,needs Shipping,,,,,,
Kelci Walkden,USA,Manuka Honey Choco,16-Feb-22,"$17,318 ",87,1385.44,needs Shipping,,,,,,
Jehu Rudeforth,Canada,Spicy Special Slims,13-Jan-22,"$1,848 ",27,92.4,Delay Shipping,,,,,,
Kelci Walkden,Australia,Eclairs,23-Mar-22,"$7,273 ",547,363.65,needs Shipping,,,,,,
Curtice Advani,Canada,Spicy Special Slims,16-Jun-22,$854 ,118,42.7,needs Shipping,,,,,,
Oby Sorrel,India,Raspberry Choco,14-Apr-22,"$6,832 ",46,341.6,Delay Shipping,,,,,,
Kelci Walkden,UK,Eclairs,25-Jan-22,"$4,606 ",57,230.3,needs Shipping,,,,,,
Jan Morforth,India,Almond Choco,11-Mar-22,"$4,466 ",22,223.3,Delay Shipping,,,,,,
Dotty Strutley,UK,Almond Choco,28-Jul-22,"$16,114 ",96,805.7,needs Shipping,,,,,,
Marney O'Breen,New Zealand,After Nines,9-Mar-22,"$1,561 ",44,78.05,Delay Shipping,,,,,,
Husein Augar,Australia,Orange Choco,28-Jun-22,"$8,897 ",188,444.85,needs Shipping,,,,,,
Marney O'Breen,Australia,Milk Bars,28-Jul-22,"$2,464 ",387,123.2,needs Shipping,,,,,,
Kelci Walkden,Canada,99% Dark & Pure,15-Aug-22,"$4,830 ",50,241.5,needs Shipping,,,,,,
Kaine Padly,Australia,Manuka Honey Choco,12-Jan-22,"$2,765 ",264,138.25,needs Shipping,,,,,,
Beverie Moffet,New Zealand,White Choc,24-Mar-22,"$7,126 ",7,356.3,Delay Shipping,,,,,,
Van Tuxwell,UK,Milk Bars,25-Jul-22,"$4,263 ",90,213.15,needs Shipping,,,,,,
Oby Sorrel,Canada,99% Dark & Pure,1-Aug-22,"$3,605 ",403,180.25,needs Shipping,,,,,,
Van Tuxwell,India,Organic Choco Syrup,16-May-22,"$19,929 ",174,996.45,needs Shipping,,,,,,
Roddy Speechley,India,Smooth Sliky Salty,10-Aug-22,"$5,103 ",140,255.15,needs Shipping,,,,,,
Jan Morforth,India,Eclairs,5-Jan-22,"$2,541 ",27,127.05,Delay Shipping,,,,,,
Ches Bonnell,UK,Smooth Sliky Salty,11-Jul-22,"$5,663 ",110,283.15,needs Shipping,,,,,,
Wilone O'Kielt,USA,After Nines,25-Apr-22,$392 ,30,31.36,Delay Shipping,,,,,,
Gigi Bohling,New Zealand,Fruit & Nut Bars,4-Apr-22,"$10,976 ",121,548.8,needs Shipping,,,,,,
Barr Faughny,USA,Raspberry Choco,12-Apr-22,"$9,282 ",101,742.56,needs Shipping,,,,,,
Wilone O'Kielt,New Zealand,85% Dark Bars,2-Aug-22,"$1,827 ",117,91.35,needs Shipping,,,,,,
Gigi Bohling,New Zealand,Manuka Honey Choco,28-Jun-22,"$8,267 ",272,413.35,needs Shipping,,,,,,
Ches Bonnell,Australia,Eclairs,5-Jul-22,"$4,116 ",128,205.8,needs Shipping,,,,,,
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,7-Jun-22,"$2,093 ",45,104.65,Delay Shipping,,,,,,
Brien Boise,New Zealand,Smooth Sliky Salty,18-Jan-22,"$1,015 ",27,50.75,Delay Shipping,,,,,,
Brien Boise,Australia,Baker's Choco Chips,4-Jan-22,"$12,516 ",212,625.8,needs Shipping,,,,,,
Dennison Crosswaite,Australia,99% Dark & Pure,31-Jan-22,"$2,758 ",18,137.9,Delay Shipping,,,,,,
Kelci Walkden,India,Almond Choco,14-Mar-22,"$3,297 ",149,164.85,needs Shipping,,,,,,
Camilla Castle,Australia,70% Dark Bites,29-Apr-22,"$6,048 ",477,302.4,needs Shipping,,,,,,
Oby Sorrel,India,Smooth Sliky Salty,7-Feb-22,"$10,101 ",108,505.05,needs Shipping,,,,,,
Kaine Padly,UK,Organic Choco Syrup,31-Mar-22,"$2,282 ",178,114.1,needs Shipping,,,,,,
Marney O'Breen,India,Caramel Stuffed Bars,16-Mar-22,"$4,361 ",81,218.05,needs Shipping,,,,,,
Karlen McCaffrey,UK,Eclairs,25-Jan-22,"$7,798 ",196,389.9,needs Shipping,,,,,,
Van Tuxwell,India,Baker's Choco Chips,20-Jun-22,"$3,052 ",447,152.6,needs Shipping,,,,,,
Gigi Bohling,UK,After Nines,29-Mar-22,"$8,029 ",175,401.45,needs Shipping,,,,,,
Curtice Advani,Australia,Orange Choco,12-Jul-22,$854 ,136,42.7,needs Shipping,,,,,,
Jehu Rudeforth,Canada,Smooth Sliky Salty,11-Jul-22,"$5,460 ",138,273,needs Shipping,,,,,,
Karlen McCaffrey,Canada,Smooth Sliky Salty,19-Jan-22,"$3,017 ",184,150.85,needs Shipping,,,,,,
Andria Kimpton,USA,85% Dark Bars,5-Apr-22,"$8,911 ",82,712.88,needs Shipping,,,,,,
Jehu Rudeforth,Canada,Milk Bars,21-Feb-22,"$7,203 ",12,360.15,Delay Shipping,,,,,,
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20-May-22,"$13,083 ",14,654.15,Delay Shipping,,,,,,
Mallorie Waber,Australia,Milk Bars,29-Jul-22,"$2,779 ",104,138.95,needs Shipping,,,,,,
Barr Faughny,USA,Fruit & Nut Bars,28-Jan-22,"$9,058 ",46,724.64,Delay Shipping,,,,,,
Marney O'Breen,UK,Caramel Stuffed Bars,19-Jul-22,"$3,549 ",112,177.45,needs Shipping,,,,,,
Mallorie Waber,New Zealand,Manuka Honey Choco,13-Apr-22,"$9,436 ",11,471.8,Delay Shipping,,,,,,
Roddy Speechley,India,Peanut Butter Cubes,11-Feb-22,"$10,283 ",21,514.15,Delay Shipping,,,,,,
Roddy Speechley,New Zealand,Milk Bars,2-Mar-22,"$5,446 ",116,272.3,needs Shipping,,,,,,
Ches Bonnell,Australia,White Choc,2-Mar-22,"$1,043 ",202,52.15,needs Shipping,,,,,,
Van Tuxwell,USA,99% Dark & Pure,28-Jul-22,"$12,586 ",6,1006.88,Delay Shipping,,,,,,
Kelci Walkden,India,After Nines,7-Jan-22,"$1,687 ",520,84.35,needs Shipping,,,,,,
Brien Boise,UK,White Choc,12-Apr-22,"$5,299 ",167,264.95,needs Shipping,,,,,,
Van Tuxwell,Canada,Almond Choco,27-Jun-22,"$3,213 ",72,160.65,needs Shipping,,,,,,
Jehu Rudeforth,Australia,50% Dark Bites,14-Jan-22,"$5,194 ",418,259.7,needs Shipping,,,,,,
Karlen McCaffrey,UK,Baker's Choco Chips,7-Feb-22,"$4,753 ",389,237.65,needs Shipping,,,,,,
Jehu Rudeforth,Australia,Orange Choco,23-Mar-22,"$13,706 ",26,685.3,Delay Shipping,,,,,,
Marney O'Breen,India,Peanut Butter Cubes,10-Jan-22,"$6,489 ",146,324.45,needs Shipping,,,,,,
Oby Sorrel,UK,Choco Coated Almonds,17-Mar-22,"$9,324 ",41,466.2,Delay Shipping,,,,,,
Gigi Bohling,USA,Spicy Special Slims,21-Jan-22,"$10,829 ",54,866.32,needs Shipping,,,,,,
Barr Faughny,Australia,White Choc,4-Jul-22,"$8,113 ",370,405.65,needs Shipping,,,,,,
Kaine Padly,Canada,Peanut Butter Cubes,4-Jul-22,"$3,269 ",176,163.45,needs Shipping,,,,,,
Dotty Strutley,USA,Manuka Honey Choco,10-Aug-22,$273 ,210,21.84,needs Shipping,,,,,,
Dennison Crosswaite,Australia,50% Dark Bites,1-Apr-22,"$7,287 ",12,364.35,Delay Shipping,,,,,,
Gigi Bohling,India,Raspberry Choco,22-Feb-22,"$2,583 ",159,129.15,needs Shipping,,,,,,
Camilla Castle,UK,White Choc,3-Jan-22,"$9,982 ",187,499.1,needs Shipping,,,,,,
Karlen McCaffrey,India,Drinking Coco,31-May-22,"$4,795 ",233,239.75,needs Shipping,,,,,,
Dotty Strutley,UK,99% Dark & Pure,3-Jan-22,"$9,310 ",282,465.5,needs Shipping,,,,,,
Husein Augar,New Zealand,Caramel Stuffed Bars,27-Jan-22,$497 ,475,24.85,needs Shipping,,,,,,
Barr Faughny,UK,50% Dark Bites,28-Jan-22,$581 ,65,29.05,needs Shipping,,,,,,
Curtice Advani,Australia,Organic Choco Syrup,28-Jun-22,"$3,472 ",311,173.6,needs Shipping,,,,,,
Husein Augar,UK,Choco Coated Almonds,2-Mar-22,"$4,333 ",43,216.65,Delay Shipping,,,,,,
Wilone O'Kielt,Australia,After Nines,27-May-22,"$3,325 ",26,166.25,Delay Shipping,,,,,,
Dennison Crosswaite,USA,Almond Choco,30-Jun-22,"$11,718 ",84,937.44,needs Shipping,,,,,,
Barr Faughny,Canada,Peanut Butter Cubes,7-Jun-22,"$2,100 ",78,105,needs Shipping,,,,,,
Kaine Padly,USA,70% Dark Bites,12-May-22,"$4,018 ",100,321.44,needs Shipping,,,,,,
Barr Faughny,New Zealand,Raspberry Choco,29-Jul-22,"$6,468 ",66,323.4,needs Shipping,,,,,,
Dennison Crosswaite,UK,White Choc,3-Aug-22,"$7,238 ",265,361.9,needs Shipping,,,,,,
Barr Faughny,India,Baker's Choco Chips,18-Aug-22,"$6,454 ",141,322.7,needs Shipping,,,,,,
Van Tuxwell,New Zealand,Smooth Sliky Salty,14-Jun-22,"$3,115 ",42,155.75,Delay Shipping,,,,,,
Beverie Moffet,UK,White Choc,30-Jun-22,"$6,475 ",76,323.75,needs Shipping,,,,,,
Camilla Castle,New Zealand,Mint Chip Choco,13-Jun-22,"$1,162 ",190,58.1,needs Shipping,,,,,,
Ches Bonnell,UK,Orange Choco,27-Apr-22,"$14,238 ",54,711.9,needs Shipping,,,,,,
Jan Morforth,Australia,White Choc,27-Jul-22,"$3,472 ",32,173.6,Delay Shipping,,,,,,
Mallorie Waber,Canada,85% Dark Bars,20-Apr-22,"$1,428 ",424,71.4,needs Shipping,,,,,,
Rafaelita Blaksland,India,Spicy Special Slims,4-Jan-22,"$8,064 ",134,403.2,needs Shipping,,,,,,
Ches Bonnell,Australia,Mint Chip Choco,21-Feb-22,"$9,660 ",92,483,needs Shipping,,,,,,
Karlen McCaffrey,Australia,White Choc,5-Jan-22,"$7,357 ",48,367.85,Delay Shipping,,,,,,
Beverie Moffet,India,Drinking Coco,15-Jul-22,"$6,055 ",46,302.75,Delay Shipping,,,,,,
Brien Boise,Australia,Choco Coated Almonds,25-May-22,"$5,124 ",62,256.2,needs Shipping,,,,,,
Karlen McCaffrey,Canada,Eclairs,20-Apr-22,"$3,479 ",358,173.95,needs Shipping,,,,,,
Gigi Bohling,USA,99% Dark & Pure,2-Jun-22,$784 ,249,62.72,needs Shipping,,,,,,
Marney O'Breen,UK,Smooth Sliky Salty,13-May-22,"$18,991 ",88,949.55,needs Shipping,,,,,,
Beverie Moffet,New Zealand,Baker's Choco Chips,3-Aug-22,"$1,372 ",144,68.6,needs Shipping,,,,,,
Beverie Moffet,Australia,Milk Bars,25-May-22,$735 ,390,36.75,needs Shipping,,,,,,
Van Tuxwell,UK,Raspberry Choco,16-Mar-22,"$6,538 ",79,326.9,needs Shipping,,,,,,
Jan Morforth,Australia,Orange Choco,4-Jul-22,"$3,199 ",122,159.95,needs Shipping,,,,,,
Jehu Rudeforth,India,50% Dark Bites,5-Jul-22,"$3,472 ",135,173.6,needs Shipping,,,,,,
Madelene Upcott,USA,After Nines,15-Mar-22,"$4,571 ",430,365.68,needs Shipping,,,,,,
Barr Faughny,UK,Raspberry Choco,22-Aug-22,"$5,481 ",69,274.05,needs Shipping,,,,,,
Ches Bonnell,Australia,70% Dark Bites,12-Jan-22,"$3,136 ",125,156.8,needs Shipping,,,,,,
Marney O'Breen,UK,Baker's Choco Chips,10-Jun-22,$252 ,154,12.6,needs Shipping,,,,,,
Kaine Padly,Australia,Peanut Butter Cubes,25-Mar-22,"$5,460 ",286,273,needs Shipping,,,,,,
Rafaelita Blaksland,India,Almond Choco,27-Jul-22,"$3,395 ",99,169.75,needs Shipping,,,,,,
Husein Augar,UK,Caramel Stuffed Bars,15-Apr-22,"$14,938 ",433,746.9,needs Shipping,,,,,,
Roddy Speechley,India,Orange Choco,27-Jun-22,"$4,053 ",19,202.65,Delay Shipping,,,,,,
Jehu Rudeforth,UK,70% Dark Bites,14-Apr-22,"$5,565 ",258,278.25,needs Shipping,,,,,,
Husein Augar,Australia,Manuka Honey Choco,15-Mar-22,"$7,161 ",92,358.05,needs Shipping,,,,,,
Madelene Upcott,USA,Eclairs,18-Mar-22,"$8,883 ",200,710.64,needs Shipping,,,,,,
Brien Boise,India,Eclairs,29-Apr-22,"$1,351 ",61,67.55,needs Shipping,,,,,,
Mallorie Waber,New Zealand,White Choc,25-Feb-22,"$3,171 ",246,158.55,needs Shipping,,,,,,
Husein Augar,USA,Milk Bars,2-Mar-22,$854 ,56,68.32,needs Shipping,,,,,,
Van Tuxwell,Australia,Milk Bars,20-Jun-22,"$7,910 ",87,395.5,needs Shipping,,,,,,
Beverie Moffet,Canada,White Choc,15-Jul-22,"$9,275 ",173,463.75,needs Shipping,,,,,,
Dotty Strutley,Australia,50% Dark Bites,12-May-22,"$3,108 ",252,155.4,needs Shipping,,,,,,
